Data,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o
13/03/2020,Sim,,Sim,,,,,,,,,,,,
16/03/2020,Sim,,Sim,,,,,,,,,,,,
22/03/2020,,Sim,Sim,Sim,,,,,,,,,,,
05/04/2020,,Sim,Sim,Sim,,,,,,,,,,,
08/04/2020,,Sim,Sim,Sim,,,,,,,,,,,
10/04/2020,Sim,,Sim,,Sim,,,,,,,,,,
13/04/2020,Sim,,Sim,,,,,,,,,,,,
15/04/2020,,Sim,Sim,,,,Sim,,,,,,,,
16/04/2020,Sim,,Sim,,,,,,,,,,,,
17/04/2020,Sim,,Sim,,,,,Sim,,,,,,,
18/04/2020,Sim,,Sim,,,,,,Sim,,,,,,
18/04/2020,,Sim,Sim,,,Sim,,Sim,,,,,,,
19/04/2020,,Sim,Sim,Sim,,,,,,,,,,,
23/04/2020,Sim,,Sim,,,Sim,,,Sim,,,,,Sim,
25/04/2020,,Sim,Sim,,,,Sim,,,,,,,,
28/04/2020,,Sim,Sim,,,,,,,,,,,,
29/04/2020,Sim,,Sim,,,,,,,,,,,,
30/04/2020,Sim,,Sim,,,Sim,,Sim,,,,,,,
03/05/2020,,Sim,Sim,Sim,,,,,,,,,,,
07/05/2020,Sim,,Sim,,,Sim,,,Sim,,,,,,
13/05/2020,Sim,,Sim,,,,,,,,,Sim,,,
15/05/2020,Sim,,Sim,,,Sim,,,,,,Sim,,,
16/05/2020,Sim,,Sim,,,,,,,,,,,,
17/05/2020,,Sim,Sim,Sim,,,,,,,,,,,
22/05/2020,,Sim,Sim,,,Sim,,,Sim,,,,,Sim,
28/05/2020,,Sim,Sim,,,,,,,,,,,,
02/06/2020,Sim,,Sim,,,,,,,,,Sim,,,
02/06/2020,Sim,,,,,,,,,Sim,,,,,
08/06/2020,,Sim,Sim,,,,,,,,,Sim,,,
13/06/2020,Sim,,Sim,,,,,,,,,,,,
23/06/2020,Sim,,Sim,,,,,,,,,Sim,,,
29/06/2020,Sim,,Sim,,Sim,,,,,,,,,,
03/07/2020,Sim,,Sim,,,,,,Sim,,,,,,
24/07/2020,Sim,,Sim,,Sim,,,,,Sim,,,,,
27/07/2020,,Sim,Sim,,,,,,,,,,,,
30/07/2020,Sim,,Sim,,Sim,,,,,,,,,,
10/08/2020,Sim,,Sim,,,,,,Sim,,,,,Sim,
14/08/2020,Sim,,Sim,,,Sim,,,,,,Sim,,,
17/08/2020,,Sim,Sim,,,,,,,,,,,,
18/08/2020,Sim,,Sim,,,,,,,Sim,,Sim,,,
06/09/2020,,Sim,Sim,,,,,,Sim,,,,,,
23/09/2020,Sim,,Sim,,,,,Sim,,,,Sim,,,
02/10/2020,Sim,,Sim,,,,,,,,,,,,
02/10/2020,,Sim,Sim,,,,,Sim,,,,,,,
06/10/2020,Sim,,Sim,,,,,,,Sim,,Sim,,,
16/10/2020,Sim,,Sim,,,,,,,,,,,,
22/10/2020,,Sim,Sim,,,,,Sim,,,Sim,,,,
26/10/2020,Sim,,Sim,,,,,Sim,,,Sim,,,,
29/10/2020,Sim,,Sim,,,,,,,,Sim,,,,
02/11/2020,,Sim,Sim,,,,Sim,,,,,,,,
04/11/2020,,Sim,Sim,,,,,,,,,,,,
04/11/2020,Sim,,Sim,,,,,,,,,,,,
10/11/2020,Sim,,Sim,,,Sim,,,Sim,,,,,Sim,
12/11/2020,,Sim,Sim,,,,Sim,,,,,,,,
13/11/2020,Sim,,Sim,,,,,,,,,Sim,,,
24/11/2020,Sim,,Sim,,,,,,,,,,,,
02/12/2020,Sim,,Sim,,,,,,,,,,,,
04/12/2020,Sim,,Sim,,,,,,,,,,,,
04/12/2020,Sim,,Sim,,Sim,Sim,,Sim,,,,,,,
09/12/2020,Sim,,Sim,,,,,,,,,,,,
10/12/2020,Sim,,Sim,,,,,,,,,Sim,,,
11/12/2020,Sim,,Sim,,Sim,,,,,,,,,,
19/12/2020,Sim,,Sim,,,,,,,,,Sim,,,
21/12/2020,,Sim,Sim,,,,Sim,,,,,,,,
22/12/2020,Sim,,Sim,,,Sim,,Sim,,,,Sim,,,
26/12/2020,,Sim,Sim,,,,,,,,,,,Sim,
09/01/2021,Sim,,Sim,,,,,,,,,Sim,,,
11/01/2021,,Sim,Sim,,,,,,,,,,,Sim,
07/02/2021,Sim,,Sim,,,,,Sim,,,,,,,
08/02/2021,Sim,,Sim,,,,,,,,,Sim,,,
09/02/2021,Sim,,Sim,,,,,,,,,Sim,,,
10/02/2021,,Sim,Sim,,,,,,,,,Sim,,,
04/03/2021,,Sim,Sim,,,,Sim,,,,,,,,
10/03/2021,,Sim,Sim,,,,Sim,,,,,,,,
